UF;Nome_Mesorregião;ID_Município;Nome_Município;LONGITUDE;LATITUDE;País;População;Capital;PraçaPrincipal
RO;Leste Rondoniense;1100015;Alta Floresta D'Oeste;-61,999824;-11,93554;Brasil;22.853;Não;NÃO
RO;Leste Rondoniense;1100379;Alto Alegre dos Parecis;-61,853077;-12,131777;Brasil;12.263;Não;NÃO
RO;Leste Rondoniense;1100403;Alto Paraíso;-63,317629;-9,716667;Brasil;17.463;Não;NÃO
RO;Leste Rondoniense;1100346;Alvorada D'Oeste;-62,277275;-11,34413;Brasil;13.837;Não;NÃO
RO;Leste Rondoniense;1100023;Ariquemes;-63,033269;-9,908463;Brasil;108.573;Não;NÃO
RO;Madeira-Guaporé;1100452;Buritis;-63,829679;-10,209805;Brasil;30.729;Não;NÃO
RO;Leste Rondoniense;1100031;Cabixi;-60,544314;-13,499763;Brasil;5.690;Não;NÃO
RO;Leste Rondoniense;1100601;Cacaulândia;-62,90319;-10,338873;Brasil;4.345;Não;NÃO
RO;Leste Rondoniense;1100049;Cacoal;-61,442944;-11,433865;Brasil;97.637;Não;NÃO
RO;Madeira-Guaporé;1100700;Campo Novo de Rondônia;-63,624991;-10,568416;Brasil;9.225;Não;NÃO
RO;Madeira-Guaporé;1100809;Candeias do Jamari;-63,70002;-8,785021;Brasil;24.163;Não;NÃO
RO;Leste Rondoniense;1100908;Castanheiras;-61,949161;-11,426842;Brasil;3.456;Não;NÃO
RO;Leste Rondoniense;1100056;Cerejeiras;-60,818426;-13,195033;Brasil;16.975;Não;NÃO
RO;Leste Rondoniense;1100924;Chupinguaia;-60,901848;-12,556841;Brasil;10.129;Não;NÃO
RO;Leste Rondoniense;1100064;Colorado do Oeste;-60,555067;-13,130564;Brasil;16.588;Não;NÃO
RO;Leste Rondoniense;1100072;Corumbiara;-60,948701;-12,99752;Brasil;8.001;Não;NÃO
RO;Madeira-Guaporé;1100080;Costa Marques;-64,231654;-12,436014;Brasil;13.522;Não;NÃO
RO;Madeira-Guaporé;1100940;Cujubim;-62,587175;-9,378193;Brasil;15.883;Não;NÃO
RO;Leste Rondoniense;1100098;Espigão D'Oeste;-61,020173;-11,528555;Brasil;32.717;Não;NÃO
RO;Leste Rondoniense;1101005;Governador Jorge Teixeira;-62,740458;-10,612072;Brasil;8.420;Não;NÃO
RO;Madeira-Guaporé;1100106;Guajará-Mirim;-65,323952;-10,773884;Brasil;43.553;Não;NÃO
RO;Madeira-Guaporé;1101104;Itapuã do Oeste;-63,182337;-9,191872;Brasil;9.209;Não;NÃO
RO;Leste Rondoniense;1100114;Jaru;-62,476231;-10,435949;Brasil;55.583;Não;NÃO
RO;Leste Rondoniense;1100122;Ji-Paraná;-61,945095;-10,882051;Brasil;139.359;Não;SIM
RO;Leste Rondoniense;1100130;Machadinho D'Oeste;-61,999593;-9,425562;Brasil;34.063;Não;NÃO
RO;Leste Rondoniense;1101203;Ministro Andreazza;-61,518922;-11,196238;Brasil;6.657;Não;NÃO
RO;Leste Rondoniense;1101302;Mirante da Serra;-62,669427;-11,045609;Brasil;9.740;Não;NÃO
RO;Leste Rondoniense;1101401;Monte Negro;-63,295559;-10,263098;Brasil;12.241;Não;NÃO
RO;Leste Rondoniense;1100148;Nova Brasilândia D'Oeste;-62,30823;-11,721325;Brasil;16.504;Não;NÃO
RO;Madeira-Guaporé;1100338;Nova Mamoré;-65,329149;-10,411771;Brasil;28.496;Não;NÃO
RO;Leste Rondoniense;1101435;Nova União;-62,555089;-10,915532;Brasil;6.577;Não;NÃO
RO;Leste Rondoniense;1100502;Novo Horizonte do Oeste;-61,994388;-11,709743;Brasil;8.056;Não;NÃO
RO;Leste Rondoniense;1100155;Ouro Preto do Oeste;-62,261055;-10,723574;Brasil;38.681;Não;NÃO
RO;Leste Rondoniense;1101450;Parecis;-61,597998;-12,179827;Brasil;4.390;Não;NÃO
RO;Leste Rondoniense;1100189;Pimenta Bueno;-61,183666;-11,677537;Brasil;39.053;Não;NÃO
RO;Leste Rondoniense;1101468;Pimenteiras do Oeste;-61,044379;-13,476562;Brasil;2.311;Não;NÃO
RO;Madeira-Guaporé;1100205;Porto Velho;-63,831446;-8,768892;Brasil;514.873;Sim;SIM
